0,1,2,3,4
"Year Ended June 30,",nan,2025,2024,2023
Common stock and paid-in capital,nan,nan,nan,nan
"Balance, beginning of period",$,"100,923  $","93,718  $","86,939"
Common stock issued,nan,"2,056","2,002","1,866"
Common stock repurchased,nan,"(5,856)","(5,712)","(4,696)"
Stock-based compensation expense,nan,"11,974","10,734","9,611"
"Other, net",nan,(2),181,(2)
"Balance, end of period",nan,"109,095","100,923","93,718"
Retained earnings,nan,nan,nan,nan
"Balance, beginning of period",nan,"173,144","118,848","84,281"
Net income,nan,"101,832","88,136","72,361"
Common stock cash dividends,nan,"(24,677)","(22,293)","(20,226)"
Common stock repurchased,nan,"(12,568)","(11,547)","(17,568)"
"Balance, end of period",nan,"237,731","173,144","118,848"
Accumulated other comprehensive loss,nan,nan,nan,nan
"Balance, beginning of period",nan,"(5,590)","(6,343)","(4,678)"
Other comprehensive income (loss),nan,"2,243",753,"(1,665)"
"Balance, end of period",nan,"(3,347)","(5,590)","(6,343)"
