0,1,2,3
"June 30,",nan,2025,2024
Deferred Income Tax Assets,nan,nan,nan
Stock-based compensation expense,$,909  $,765
"Accruals, reserves, and other expenses",nan,"5,050","4,381"
Loss and credit carryforwards,nan,"2,114","1,741"
Amortization,nan,"4,118","4,159"
Leasing liabilities,nan,"12,874","6,504"
Unearned revenue,nan,"4,324","3,717"
Book/tax basis differences in investments and debt,nan,303,9
Capitalized research and development,nan,"16,891","11,442"
Other,nan,529,426
Deferred income tax assets,nan,"47,112","33,144"
Less valuation allowance,nan,"(1,169)","(1,045)"
"Deferred income tax assets, net of valuation allowance",$,"45,943  $","32,099"
Deferred Income Tax Liabilities,nan,nan,nan
Leasing assets,$,"(12,696)  $","(6,503)"
Depreciation,nan,"(5,699)","(3,940)"
Deferred tax on foreign earnings,nan,"(1,148)","(1,837)"
Other,nan,(127),(167)
Deferred income tax liabilities,$,"(19,670)  $","(12,447)"
Net deferred income tax assets,$,"26,273  $","19,652"
Reported As,nan,nan,nan
Other long-term assets,$,"29,108  $","22,270"
Long-term deferred income tax liabilities,nan,"(2,835)","(2,618)"
