0,1,2,3,4
"Year Ended June 30,",nan,2025,2024,2023
Revenue:,nan,nan,nan,nan
Product,$,"63,946  $","64,773  $","64,699"
Service and other,nan,"217,778","180,349","147,216"
Total revenue,nan,"281,724","245,122","211,915"
Cost of revenue:,nan,nan,nan,nan
Product,nan,"13,501","15,272","17,804"
Service and other,nan,"74,330","58,842","48,059"
Total cost of revenue,nan,"87,831","74,114","65,863"
Gross margin,nan,"193,893","171,008","146,052"
Research and development,nan,"32,488","29,510","27,195"
Sales and marketing,nan,"25,654","24,456","22,759"
General and administrative,nan,"7,223","7,609","7,575"
Operating income,nan,"128,528","109,433","88,523"
"Other income (expense), net",nan,"(4,901)","(1,646)",788
Income before income taxes,nan,"123,627","107,787","89,311"
Provision for income taxes,nan,"21,795","19,651","16,950"
Net income,$,"101,832  $","88,136  $","72,361"
Earnings per share:,nan,nan,nan,nan
Basic,$,13.70  $,11.86  $,9.72
Diluted,$,13.64  $,11.80  $,9.68
