0,1,2,3,4,5,6
2009 issuance of $3.8 billion  2039,5.20%,5.24%,$,520,$,520
2010 issuance of $4.8 billion  2040,4.50%,4.57%,nan,486,nan,486
2011 issuance of $2.3 billion  2041,5.30%,5.36%,nan,718,nan,718
2012 issuance of $2.3 billion  2042,3.50%,3.57%,nan,454,nan,454
2013 issuance of $5.2 billion  2043,3.75%–4.88%,3.83%–4.92%,nan,314,nan,314
2013 issuance of €4.1 billion 2028–2033,2.63%–3.13%,2.69%–3.22%,nan,"2,700",nan,"2,465"
2015 issuance of $23.8 billion 2025–2055,3.13%–4.75%,3.18%–4.78%,nan,"7,555",nan,"9,805"
2016 issuance of $19.8 billion 2026–2056,2.40%–3.95%,2.46%–4.03%,nan,"7,930",nan,"7,930"
2017 issuance of $17.1 billion 2026–2057,3.30%–4.50%,3.38%–5.49%,nan,"6,833",nan,"6,833"
2020 issuance of $10.1 billion 2030–2060,1.35%–2.68%,2.53%–5.43%,nan,"10,111",nan,"10,111"
2021 issuance of $8.2 billion 2052–2062,2.92%–3.04%,2.92%–3.04%,nan,"8,185",nan,"8,185"
2023 issuance of $0.1 billion 2026–2050,1.35%–4.50%,5.16%–5.49%,nan,56,nan,56
2024 issuance of $3.3 billion 2026–2050,1.35%–4.50%,5.16%–5.49%,nan,"3,344",nan,"3,344"
Total face value,nan,nan,nan,"49,206",nan,"51,221"
Unamortized discount and issuance,nan,nan,nan,nan,nan,nan
costs,nan,nan,nan,"(1,155)",nan,"(1,227)"
Hedge fair value adjustments (a),nan,nan,nan,(36),nan,(81)
Premium on debt exchange,nan,nan,nan,"(4,864)",nan,"(4,976)"
Total debt,nan,nan,nan,"43,151",nan,"44,937"
Current portion of long-term debt,nan,nan,nan,"(2,999)",nan,"(2,249)"
Long-term debt,nan,nan,$,"40,152",$,"42,688"
(a) Refer to Note 5 – Derivatives for further information on the interest rate swaps related to fixed-rate debt.,nan,nan,nan,nan,nan,nan
"As of June 30, 2025 and 2024, the estimated fair value of long-term debt, including the current portion, was $40.4",nan,nan,nan,nan,nan,nan
"billion and $42.3 billion, respectively. The estimated fair values are based on Level 2 inputs.",nan,nan,nan,nan,nan,nan
Debt in the table above is comprised of senior unsecured obligations and ranks equally with our other outstanding,nan,nan,nan,nan,nan,nan
"obligations. Interest is paid semi-annually, except for the Euro-denominated debt, which is paid annually. Cash paid for",nan,nan,nan,nan,nan,nan
"interest on our debt for fiscal years 2025, 2024, and 2023 was $1.6 billion, $1.7 billion, and $1.7 billion, respectively.",nan,nan,nan,nan,nan,nan
"The following table outlines maturities of our long-term debt, including the current portion, as of June 30, 2025:",nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan
"Year Ending June 30,",nan,nan,nan,nan,nan,nan
2026,nan,nan,nan,$,nan,"3,000"
2027,nan,nan,nan,nan,nan,"9,250"
2028,nan,nan,nan,nan,nan,0
2029,nan,nan,nan,nan,nan,"2,054"
2030,nan,nan,nan,nan,nan,0
Thereafter,nan,nan,nan,nan,nan,"34,902"
Total,nan,nan,nan,$,nan,"49,206"
