0,1,2,3,4,5
nan,nan,Derivative,Derivative,Derivative,Derivative
(In millions),nan,Assets,Liabilities,Assets,Liabilities
nan,nan,nan,"June 30,",nan,"June 30,"
nan,nan,nan,2025,nan,2024
Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,$,89  $,(44)  $,24  $,(76)
Interest rate contracts,nan,15,0,19,0
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,248,(809),213,(230)
Equity contracts,nan,385,(983),63,(491)
Other contracts,nan,21,(1),12,(3)
Gross amounts of derivatives,nan,758,"(1,837)",331,(800)
Gross amounts of derivatives offset in the balance sheets,nan,(258),260,(151),152
Cash collateral received,nan,0,(99),0,(104)
Net amounts of derivatives,$,500  $,"(1,676)  $",180  $,(752)
Reported as,nan,nan,nan,nan,nan
Short-term investments,$,10  $,0  $,12  $,0
Other current assets,nan,201,0,149,0
Equity and other investments,nan,272,0,0,0
Other long-term assets,nan,17,0,19,0
Other current liabilities,nan,0,"(1,639)",0,(401)
Other long-term liabilities,nan,0,(37),0,(351)
Total,$,500  $,"(1,676)  $",180  $,(752)
