0,1,2,3
Income Statements,nan,nan,50
Comprehensive Income Statements,nan,nan,51
Balance Sheets,nan,nan,52
Cash Flows Statements,nan,nan,53
Stockholders’ Equity Statements,nan,nan,54
Notes to Financial Statements,nan,nan,55
Report of Independent Registered Public Accounting Firm,nan,nan,86
(b) Exhibit Listing,nan,nan,nan
nan,nan,Incorporated by Reference,nan
Exhibit Filed,nan,Period,nan
Number Exhibit Description Herewith,Form,Ending Exhibit,Filing Date
3.1 Amended and Restated Articles of,8-K,3.1,12/1/2016
Incorporation of Microsoft Corporation,nan,nan,nan
3.2 Bylaws of Microsoft Corporation,8-K,3.2,7/1/2025
"4.1 Indenture, dated as of May 18, 2009,",S-3ASR,4.1,10/29/2015
between Microsoft Corporation and The,nan,nan,nan
Bank of New York Mellon Trust,nan,nan,nan
"Company, N.A., as Trustee (“Base",nan,nan,nan
Indenture”),nan,nan,nan
4.2 Form of First Supplemental Indenture for,8-K,4.2,5/15/2009
"2.95% Notes due 2014, 4.20% Notes",nan,nan,nan
"due 2019, and 5.20% Notes due 2039,",nan,nan,nan
"dated as of May 18, 2009, between",nan,nan,nan
Microsoft Corporation and The Bank of,nan,nan,nan
"New York Mellon Trust Company, N.A.,",nan,nan,nan
"as Trustee, to the Base Indenture",nan,nan,nan
4.5 Form of Second Supplemental Indenture,8-K,4.2,9/27/2010
