0,1,2,3,4,5
"June 30, 2025",nan,nan,nan,nan,nan
Derivative assets  $,1  $,474  $,283  $,nan,758
Derivative liabilities,0,"(1,832)",(5),nan,"(1,837)"
"June 30, 2024",nan,nan,nan,nan,nan
Derivative assets,0,327,4,nan,331
Derivative liabilities,(1),(799),0,nan,(800)
"Gains (losses) on derivative instruments recognized in other income (expense), net were as follows:",nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2025,2024,nan,2023
Designated as Fair Value Hedging Instruments,nan,nan,nan,nan,nan
Interest rate contracts,nan,nan,nan,nan,nan
Derivatives,$,5 $,(23),$,(65)
Hedged items,nan,(45),(25),nan,38
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Amount reclassified from accumulated other comprehensive loss,nan,103,(48),nan,61
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,(938),367,nan,(73)
Equity contracts,nan,(266),(177),nan,(420)
Other contracts,nan,21,(15),nan,(41)
