0,1,2,3,4
(In millions),nan,2025,nan,2024
Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,$,"1,492",$,"1,492"
Interest rate contracts purchased,nan,"1,150",nan,"1,100"
Not Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,"15,214",nan,"7,167"
Foreign exchange contracts sold,nan,"43,307",nan,"31,793"
Equity contracts purchased,nan,"5,434",nan,"4,016"
Equity contracts sold,nan,"2,189",nan,"2,165"
Other contracts purchased,nan,"2,769",nan,"2,113"
Other contracts sold,nan,"1,242",nan,811
