0,1,2,3,4,5,6
"Year Ended June 30,",nan,2025,nan,2024,nan,2023
Realized gains from sales of available-for-sale securities,$,40,$,22,$,36
Realized losses from sales of available-for-sale securities,nan,(65),nan,(98),nan,(124)
Impairments and allowance for credit losses,nan,8,nan,23,nan,(10)
Total,$,(17),$,(53),$,(98)
Net recognized gains (losses) on equity investments were as follows:,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2025,nan,2024,nan,2023
Net realized gains on investments sold,$,83,$,18,$,75
Net unrealized gains on investments still held,nan,536,nan,146,nan,303
