0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"30,299",nan,$,"29,943"
Marketable securities,"23,476",nan,"35,228",nan,nan
"Accounts receivable, net","29,639",nan,"33,410",nan,nan
Vendor non-trade receivables,"29,667",nan,"32,833",nan,nan
Inventories,"6,911",nan,"7,286",nan,nan
Other current assets,"13,248",nan,"14,287",nan,nan
Total current assets,"133,240",nan,"152,987",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"87,593",nan,"91,479",nan,nan
"Property, plant and equipment, net","46,069",nan,"45,680",nan,nan
Other non-current assets,"77,183",nan,"74,834",nan,nan
Total non-current assets,"210,845",nan,"211,993",nan,nan
Total assets,$,"344,085",nan,$,"364,980"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"61,910",nan,$,"68,960"
Other current liabilities,"61,151",nan,"78,304",nan,nan
Deferred revenue,"8,461",nan,"8,249",nan,nan
Commercial paper,"1,995",nan,"9,967",nan,nan
Term debt,"10,848",nan,"10,912",nan,nan
Total current liabilities,"144,365",nan,"176,392",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"83,956",nan,"85,750",nan,nan
Other non-current liabilities,"49,006",nan,"45,888",nan,nan
Total non-current liabilities,"132,962",nan,"131,638",nan,nan
Total liabilities,"277,327",nan,"308,030",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 15,040,731 and 15,116,786 shares issued and outstanding, respectively","84,768",nan,"83,276",nan,nan
Accumulated deficit,"(11,221)",nan,"(19,154)",nan,nan
Accumulated other comprehensive loss,"(6,789)",nan,"(7,172)",nan,nan
Total shareholders’ equity,"66,758",nan,"56,950",nan,nan
Total liabilities and shareholders’ equity,$,"344,085",nan,$,"364,980"
