0,1,2,3,4
"Three Months Ended September 30,",nan,2024,nan,2023
Operating lease cost,$,"1,161",$,775
Finance lease cost:,nan,nan,nan,nan
Amortization of right-of-use assets,$,696,$,380
Interest on lease liabilities,nan,275,nan,149
Total finance lease cost,$,971,$,529
Supplemental cash flow information related to leases was as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Three Months Ended September 30,",nan,2024,nan,2023
Cash paid for amounts included in the measurement of lease liabilities:,nan,nan,nan,nan
Operating cash flows from operating leases,$,"1,207",$,795
Operating cash flows from finance leases,nan,275,nan,149
Financing cash flows from finance leases,nan,802,nan,285
Right-of-use assets obtained in exchange for lease obligations:,nan,nan,nan,nan
Operating leases,nan,"1,892",nan,"1,804"
Finance leases,nan,"4,332",nan,"1,704"
