0,1,2,3,4
(In millions),nan,nan,nan,nan
"Three Months Ended September 30,",nan,2024,nan,2023
Realized gains from sales of available-for-sale securities,$,8,$,2
Realized losses from sales of available-for-sale securities,nan,(15 ),nan,(25 )
Impairments and allowance for credit losses,nan,12,nan,(6 )
Total,$,5,$,(29 )
Net recognized gains (losses) on equity investments were as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Three Months Ended September 30,",nan,2024,nan,2023
Net realized gains on investments sold,$,65,$,45
Net unrealized gains (losses) on investments still held,nan,412,nan,(123 )
Impairments of investments,nan,(19 ),nan,0
Total,$,458,$,(78 )
