0,1,2,3
"Three Months Ended September 30,",2024,nan,2023
Designated as Fair Value Hedging Instruments,nan,nan,nan
Interest rate contracts,nan,nan,nan
Derivatives $,20,$,(16 )
Hedged items,(32 ),nan,3
Designated as Cash Flow Hedging Instruments,nan,nan,nan
Foreign exchange contracts,nan,nan,nan
Amount reclassified from accumulated other comprehensive loss,49,nan,(46 )
Not Designated as Hedging Instruments,nan,nan,nan
Foreign exchange contracts,(383 ),nan,206
Equity contracts,(348 ),nan,113
Other contracts,24,nan,(33 )
"Gains (losses), net of tax, on derivative instruments recognized in our consolidated comprehensive income statements",nan,nan,nan
were as follows:,nan,nan,nan
(In millions),nan,nan,nan
"Three Months Ended September 30,",2024,nan,2023
Designated as Cash Flow Hedging Instruments,nan,nan,nan
Foreign exchange contracts,nan,nan,nan
Included in effectiveness assessment $,29,$,(15 )
NOTE 6 — INVENTORIES,nan,nan,nan
The components of inventories were as follows:,nan,nan,nan
(In millions),nan,nan,nan
nan,"September 30,",nan,"June 30,"
nan,2024,nan,2024
Raw materials $,488,$,394
Work in process,11,nan,7
Finished goods,"1,127",nan,845
Total $,"1,626",$,"1,246"
