0,1,2,3,4
"Three Months Ended September 30,",nan,2024,nan,2023
Derivatives,nan,nan,nan,nan
"Balance, beginning of period",$,(3 ),$,(27 )
"Unrealized gains (losses), net of tax of $7 and $(4)",nan,29,nan,(15 )
Reclassification adjustments for (gains) losses included in other,nan,nan,nan,nan
"income (expense), net",nan,(49 ),nan,46
Tax expense (benefit) included in provision for income taxes,nan,10,nan,(10 )
Amounts reclassified from accumulated other comprehensive loss,nan,(39 ),nan,36
"Net change related to derivatives, net of tax of $(3) and $6",nan,(10 ),nan,21
"Balance, end of period",$,(13 ),$,(6 )
Investments,nan,nan,nan,nan
"Balance, beginning of period",$,"(2,625 )",$,"(3,582 )"
"Unrealized gains (losses), net of tax of $297 and $(75)",nan,"1,118",nan,(283 )
Reclassification adjustments for (gains) losses included in other,nan,nan,nan,nan
"income (expense), net",nan,(5 ),nan,29
Tax expense (benefit) included in provision for income taxes,nan,1,nan,(6 )
Amounts reclassified from accumulated other comprehensive loss,nan,(4 ),nan,23
"Net change related to investments, net of tax of $296 and $(69)",nan,"1,114",nan,(260 )
"Balance, end of period",$,"(1,511 )",$,"(3,842 )"
Translation Adjustments and Other,nan,nan,nan,nan
"Balance, beginning of period",$,"(2,962 )",$,"(2,734 )"
"Translation adjustments and other, net of tax of $0 and $0",nan,304,nan,(355 )
"Balance, end of period",$,"(2,658 )",$,"(3,089 )"
"Accumulated other comprehensive loss, end of period",$,"(4,182 )",$,"(6,937 )"
