0,1,2,3,4
"Three Months Ended September 30,",nan,2023,nan,2022
Operating lease cost,$,775,$,662
Finance lease cost:,nan,nan,nan,nan
Amortization of right-of-use assets,$,380,$,189
Interest on lease liabilities,nan,149,nan,113
Total finance lease cost,$,529,$,302
Supplemental cash flow information related to leases was as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Three Months Ended September 30,",nan,2023,nan,2022
Cash paid for amounts included in the measurement of lease liabilities:,nan,nan,nan,nan
Operating cash flows from operating leases,$,795,$,654
Operating cash flows from finance leases,nan,149,nan,113
Financing cash flows from finance leases,nan,285,nan,256
Right-of-use assets obtained in exchange for lease obligations:,nan,nan,nan,nan
Operating leases,nan,"1,804",nan,"1,189"
Finance leases,nan,"1,704",nan,611
