0,1,2,3,4
"Three Months Ended September 30,",nan,2023,nan,2022
Common stock and paid-in capital,nan,nan,nan,nan
"Balance, beginning of period",$,"93,718",$,"86,939"
Common stock issued,nan,685,nan,575
Common stock repurchased,nan,"(1,401)",nan,"(1,171)"
Stock-based compensation expense,nan,"2,507",nan,"2,192"
"Other, net",nan,(1),nan,0
"Balance, end of period",nan,"95,508",nan,"88,535"
Retained earnings,nan,nan,nan,nan
"Balance, beginning of period",nan,"118,848",nan,"84,281"
Net income,nan,"22,291",nan,"17,556"
Common stock cash dividends,nan,"(5,571)",nan,"(5,064)"
Common stock repurchased,nan,"(3,425)",nan,"(4,399)"
"Balance, end of period",nan,"132,143",nan,"92,374"
Accumulated other comprehensive loss,nan,nan,nan,nan
"Balance, beginning of period",nan,"(6,343)",nan,"(4,678)"
Other comprehensive loss,nan,(594),nan,"(2,665)"
"Balance, end of period",nan,"(6,937)",nan,"(7,343)"
Total stockholders’ equity,$,"220,714",$,"173,566"
Cash dividends declared per common share,$,0.75,$,0.68
