0,1,2,3,4
(In millions),nan,2023,nan,2023
Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,$,"1,492",$,"1,492"
Interest rate contracts purchased,nan,"1,084",nan,"1,078"
Not Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,"6,957",nan,"7,874"
Foreign exchange contracts sold,nan,"17,026",nan,"25,159"
Equity contracts purchased,nan,"3,548",nan,"3,867"
Equity contracts sold,nan,"2,154",nan,"2,154"
Other contracts purchased,nan,"1,698",nan,"1,224"
Other contracts sold,nan,678,nan,581
