0,1,2,3,4,6,7,8,10
"September 30, 2023",nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level,nan,$,nan,$,$,$,nan
nan,2,$,"3,008",0  $ 0,"3,008",nan,"3,005 3",$ 0
Certificates of,Level,nan,nan,nan,nan,nan,nan,nan
deposit,2,nan,"1,694",00,"1,694",nan,"1,650 44",0
U.S. government,Level,nan,nan,nan,nan,nan,nan,nan
securities,1,"56,210",nan,"2(4,147)","52,065",nan,"255 51,810",0
U.S. agency,Level,nan,nan,nan,nan,nan,nan,nan
securities,2,nan,29,00,29,nan,0 29,0
Foreign government,Level,nan,nan,nan,nan,nan,nan,nan
bonds,2,nan,516,1(24),493,nan,5 488,0
Mortgage- and,nan,nan,nan,nan,nan,nan,nan,nan
asset-backed,Level,nan,nan,nan,nan,nan,nan,nan
securities,2,nan,863,1(52),812,nan,0 812,0
Corporate notes,Level,nan,nan,nan,nan,nan,nan,nan
and bonds,2,"10,443",nan,3(612),"9,834",nan,"0 9,834",0
Corporate notes,Level,nan,nan,nan,nan,nan,nan,nan
and bonds,3,nan,122,00,122,nan,0 122,0
Municipal securities,Level,nan,nan,nan,nan,nan,nan,nan
nan,2,nan,283,1(21),263,nan,0 263,0
Municipal securities,Level,nan,nan,nan,nan,nan,nan,nan
nan,3,nan,104,0(16),88,nan,0 88,0
Total debt,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,"$73,272",$,"8  $ (4,872)","$68,408  $",nan,"4,915 $ 63,493",$ 0
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level,nan,nan,nan,nan,nan,nan,nan
nan,1,nan,nan,nan,"$70,729  $ 68,159",nan,$ 0,"$ 2,570"
Equity investments,Other,nan,nan,nan,"8,853",nan,00,"8,853"
Total equity,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,nan,"$79,582  $ 68,159",nan,$ 0,"$ 11,423"
Cash,nan,nan,nan,$,"7,378  $",nan,"7,378  $ 0  $",0
(a),nan,nan,nan,nan,nan,nan,nan,nan
"Derivatives, net",nan,nan,nan,nan,6,nan,06,0
Total,nan,nan,nan,nan,"155,37",nan,nan,nan
nan,nan,nan,nan,nan,"$ 4  $ 80,452",nan,"$ 63,499","$ 11,423"
