0,1,2,3,4,5,6,7
nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,nan,Unrealiz,nan,Unrealiz,Total,Unrealiz
nan,nan,Fair,ed,Fair,ed,Fair,ed
(In millions),nan,Value,Losses,Value,Losses,Value,Losses
"September 30, 2023",nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan
securities,$,526  $,"(23)  $51,241  $ (4,124)  $51,767  $ (4,147)",nan,nan,nan,nan
Foreign government bonds,nan,72,(4),411,(20),483,(24)
Mortgage- and asset-backed,nan,309,(12,nan,(40),726,(52
securities,nan,nan,),417,nan,nan,)
Corporate notes and bonds,nan,"2,044",(49),"7,568",(563),"9,612",(612)
Municipal securities,nan,67,(1),235,(36),302,(37)
Total,$,"3,018  $","(89)  $59,872  $ (4,783)  $62,890  $ (4,872)",nan,nan,nan,nan
nan,nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,nan,Unrealiz,nan,Unrealiz,Total,Unrealiz
nan,nan,Fair,ed,Fair,ed,Fair,ed
(In millions),nan,Value,Losses,Value,Losses,Value,Losses
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan
securities,$,"7,950  $",(336)  $,"45,273  $","(3,534)  $","53,223  $","(3,870)"
Foreign government bonds,nan,77,(5),391,(19),468,(24)
Mortgage- and asset-backed,nan,nan,nan,nan,),nan,nan
securities,nan,257,(5),412,(34,669,(39)
Corporate notes and bonds,nan,"2,326",(49),"7,336",(534),"9,662",(583)
Municipal securities,nan,111,(3),186,(31),297,(34)
Total,$,"10,721  $",(398)  $,"53,598  $","(4,152)  $","64,319  $","(4,550)"
Unrealized losses from fixed-income securities are primarily attributable to changes in interest rates.,nan,nan,nan,nan,nan,nan,nan
Management does not believe,any,remaining unrealized,nan,losses represent,impairments,based,on our
evaluation of available evidence.,nan,nan,nan,nan,nan,nan,nan
Debt Investment Maturities,nan,nan,nan,nan,nan,nan,nan
"The following table outlines maturities of our debt investments as of September 30, 2023:",nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Adjusted,nan,Estimated
(In millions),nan,nan,nan,nan,Cost Basis,nan,Fair Value
"September 30, 2023",nan,nan,nan,nan,nan,nan,nan
Due in one year or less,nan,nan,nan,nan,"$ 13,575  $",nan,"13,451"
Due after one year through five years,nan,nan,nan,nan,"46,882",nan,"44,003"
Due after five years through 10 years,nan,nan,nan,nan,"11,489",nan,"9,801"
Due after 10 years,nan,nan,nan,nan,nan,"1,326","1,153"
Total,nan,nan,nan,nan,"$ 73,272  $",nan,"68,408"
