0,1,2,3,4,5
nan,nan,nan,"September 30,",nan,"June 30,"
nan,nan,nan,2023,nan,2023
Technology-based,$,"11,409  $","(7,904)  $ 3,505  $ 11,245  $","(7,589)  $","3,656"
Customer-related,nan,"7,281","(4,284)2,9977,281","(4,047)","3,234"
Marketing-related,nan,"4,935","(2,555)2,3804,935","(2,473)","2,462"
Contract-based,nan,30,(17)1329,(15),14
Total,$,"23,655   $","(14,760)  $ 8,895  $ 23,490  $","(14,124)  $","9,366"
Intangible assets amortization expense was $636 million and $633 million for the three months ended,nan,nan,nan,nan,nan
"September 30, 2023 and 2022, respectively.",nan,nan,nan,nan,nan
The following table outlines the estimated future amortization expense related to intangible assets held as,nan,nan,nan,nan,nan
"of September 30, 2023:",nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ending June 30,",nan,nan,nan,nan,nan
"2024 (excluding the three months ended September 30, 2023)",nan,nan,nan,$,"1,748"
2025,nan,nan,nan,nan,"1,905"
2026,nan,nan,nan,nan,"1,407"
2027,nan,nan,nan,nan,952
2028,nan,nan,nan,nan,675
Thereafter,nan,nan,nan,nan,"2,208"
Total,nan,nan,nan,$,"8,895"
