0,1,2,3,5,6,7
(In millions),nan,Assets,Liabilities,Assets,nan,Liabilities
nan,nan,"September 30,",nan,nan,nan,"June 30,"
nan,nan,nan,2023,nan,nan,2023
Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,$,21   $,(75)  $,34,$,(67)
Interest rate contracts,nan,9,0,16,nan,0
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,503,(331),249,nan,(332)
Equity contracts,nan,95,(342),165,nan,(400)
Other contracts,nan,8,(24),5,nan,(6)
Gross amounts of derivatives,nan,636,(772),469,nan,(805)
Gross amounts of derivatives offset in the balance,nan,nan,nan,nan,nan,nan
sheet,nan,(294),296,(202),nan,206
Cash collateral received,nan,0,(103),0,nan,(125)
Net amounts of derivatives,$,342   $,(579)  $,267,$,(724)
Reported as,nan,nan,nan,nan,nan,nan
Short-term investments,$,6   $,0  $,6,$,0
Other current assets,nan,327,0,245,nan,0
Other long-term assets,nan,9,0,16,nan,0
Other current liabilities,nan,0,(259),0,nan,(341)
Other long-term liabilities,nan,0,(320),0,nan,(383)
Total,$,342  $,(579)  $,267,$,(724)
