0,1,2,3,4,5,6,7,8
nan,nan,"June 28,",nan,"June 29,",nan,"June 28,",nan,"June 29,"
nan,nan,2025,nan,2024,nan,2025,nan,2024
ricas:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"41,198",$,"37,678",$,"134,161",$,"125,381"
Operating income,$,"16,511",$,"15,209",$,"54,794",$,"50,640"
pe:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"24,014",$,"21,884",$,"82,329",$,"76,404"
Operating income,$,"10,501",$,"9,170",$,"35,424",$,"31,872"
ter China:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"15,369",$,"14,728",$,"49,884",$,"51,919"
Operating income,$,"5,822",$,"5,562",$,"20,608",$,"20,884"
n:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"5,782",$,"5,097",$,"22,067",$,"19,126"
Operating income,$,"2,872",$,"2,544",$,"10,620",$,"9,498"
of Asia Pacific:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"7,673",$,"6,390",$,"25,254",$,"23,275"
Operating income,$,"3,243",$,"2,610",$,"10,813",$,"9,995"
