0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"36,269",nan,$,"29,943"
Marketable securities,"19,103",nan,"35,228",nan,nan
"Accounts receivable, net","27,557",nan,"33,410",nan,nan
Vendor non-trade receivables,"19,278",nan,"32,833",nan,nan
Inventories,"5,925",nan,"7,286",nan,nan
Other current assets,"14,359",nan,"14,287",nan,nan
Total current assets,"122,491",nan,"152,987",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"77,614",nan,"91,479",nan,nan
"Property, plant and equipment, net","48,508",nan,"45,680",nan,nan
Other non-current assets,"82,882",nan,"74,834",nan,nan
Total non-current assets,"209,004",nan,"211,993",nan,nan
Total assets,$,"331,495",nan,$,"364,980"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"50,374",nan,$,"68,960"
Other current liabilities,"62,499",nan,"78,304",nan,nan
Deferred revenue,"8,979",nan,"8,249",nan,nan
Commercial paper,"9,923",nan,"9,967",nan,nan
Term debt,"9,345",nan,"10,912",nan,nan
Total current liabilities,"141,120",nan,"176,392",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"82,430",nan,"85,750",nan,nan
Other non-current liabilities,"42,115",nan,"45,888",nan,nan
Total non-current liabilities,"124,545",nan,"131,638",nan,nan
Total liabilities,"265,665",nan,"308,030",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 14,856,722 and 15,116,786 shares issued and outstanding, respectively","89,806",nan,"83,276",nan,nan
Accumulated deficit,"(17,607)",nan,"(19,154)",nan,nan
Accumulated other comprehensive loss,"(6,369)",nan,"(7,172)",nan,nan
Total shareholders’ equity,"65,830",nan,"56,950",nan,nan
Total liabilities and shareholders’ equity,$,"331,495",nan,$,"364,980"
