0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"25,565",nan,$,"29,965"
Marketable securities,"36,236",nan,"31,590",nan,nan
"Accounts receivable, net","22,795",nan,"29,508",nan,nan
Vendor non-trade receivables,"20,377",nan,"31,477",nan,nan
Inventories,"6,165",nan,"6,331",nan,nan
Other current assets,"14,297",nan,"14,695",nan,nan
Total current assets,"125,435",nan,"143,566",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"91,240",nan,"100,544",nan,nan
"Property, plant and equipment, net","44,502",nan,"43,715",nan,nan
Other non-current assets,"70,435",nan,"64,758",nan,nan
Total non-current assets,"206,177",nan,"209,017",nan,nan
Total assets,$,"331,612",nan,$,"352,583"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"47,574",nan,$,"62,611"
Other current liabilities,"60,889",nan,"58,829",nan,nan
Deferred revenue,"8,053",nan,"8,061",nan,nan
Commercial paper,"2,994",nan,"5,985",nan,nan
Term debt,"12,114",nan,"9,822",nan,nan
Total current liabilities,"131,624",nan,"145,308",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"86,196",nan,"95,281",nan,nan
Other non-current liabilities,"47,084",nan,"49,848",nan,nan
Total non-current liabilities,"133,280",nan,"145,129",nan,nan
Total liabilities,"264,904",nan,"290,437",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 15,222,259 and 15,550,061 shares issued and outstanding, respectively","79,850",nan,"73,812",nan,nan
Accumulated deficit,"(4,726)",nan,(214),nan,nan
Accumulated other comprehensive loss,"(8,416)",nan,"(11,452)",nan,nan
Total shareholders’ equity,"66,708",nan,"62,146",nan,nan
Total liabilities and shareholders’ equity,$,"331,612",nan,$,"352,583"
