0,1,2,3,4
nan,nan,nan,nan,Filing Date/
Exhibit,nan,nan,nan,Period End
Number,Exhibit Description,Form,Exhibit,Date
4.28,"Officer’s Certificate of the Registrant, dated as of May 10, 2023, including forms of",8-K,4.1,5/10/23
nan,"global notes representing the 4.421% Notes due 2026, 4.000% Notes due",nan,nan,nan
nan,"2028, 4.150% Notes due 2030, 4.300% Notes due 2033 and 4.850% Notes due",nan,nan,nan
nan,2053.,nan,nan,nan
4.29*,Apple Inc. Deferred Compensation Plan.,S-8,4.1,8/23/18
10.1*,"Apple Inc. Employee Stock Purchase Plan, as amended and restated as of March",8-K,10.1,3/13/15
nan,"10, 2015.",nan,nan,nan
10.2*,Form of Indemnification Agreement between the Registrant and each director and,10-Q,10.2,6/27/09
nan,executive officer of the Registrant.,nan,nan,nan
10.3*,"Apple Inc. Non-Employee Director Stock Plan, as amended November 9, 2021.",10-Q,10.1,12/25/21
10.4*,"Apple Inc. 2014 Employee Stock Plan, as amended and restated as of October 1,",10-K,10.8,9/30/17
nan,2017.,nan,nan,nan
10.5*,Form of Restricted Stock Unit Award Agreement under 2014 Employee Stock Plan,10-K,10.20,9/30/17
nan,"effective as of September 26, 2017.",nan,nan,nan
10.6*,Form of Restricted Stock Unit Award Agreement under Non-Employee Director,10-Q,10.2,3/31/18
nan,"Stock Plan effective as of February 13, 2018.",nan,nan,nan
10.7*,Form of Restricted Stock Unit Award Agreement under 2014 Employee Stock Plan,10-K,10.17,9/29/18
nan,"effective as of August 21, 2018.",nan,nan,nan
10.8*,Form of Restricted Stock Unit Award Agreement under 2014 Employee Stock Plan,10-K,10.15,9/28/19
nan,"effective as of September 29, 2019.",nan,nan,nan
10.9*,Form of Restricted Stock Unit Award Agreement under 2014 Employee Stock Plan,10-K,10.16,9/26/20
nan,"effective as of August 18, 2020.",nan,nan,nan
10.10*,Form of Performance Award Agreement under 2014 Employee Stock Plan,10-K,10.17,9/26/20
nan,"effective as of August 18, 2020.",nan,nan,nan
10.11*,Form of CEO Restricted Stock Unit Award Agreement under 2014 Employee,10-Q,10.1,12/26/20
nan,"Stock Plan effective as of September 27, 2020.",nan,nan,nan
10.12*,Form of CEO Performance Award Agreement under 2014 Employee Stock Plan,10-Q,10.2,12/26/20
nan,"effective as of September 27, 2020.",nan,nan,nan
10.13*,Apple Inc. 2022 Employee Stock Plan.,8-K,10.1,3/4/22
10.14*,Form of Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan,8-K,10.2,3/4/22
nan,"effective as of March 4, 2022.",nan,nan,nan
10.15*,Form of Performance Award Agreement under 2022 Employee Stock Plan,8-K,10.3,3/4/22
nan,"effective as of March 4, 2022.",nan,nan,nan
10.16*,Apple Inc. Executive Cash Incentive Plan.,8-K,10.1,8/19/22
10.17*,Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee,10-Q,10.1,12/31/22
nan,"Stock Plan effective as of September 25, 2022.",nan,nan,nan
10.18*,Form of CEO Performance Award Agreement under 2022 Employee Stock Plan,10-Q,10.2,12/31/22
nan,"effective as of September 25, 2022.",nan,nan,nan
"10.19*, **",Form of Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan,nan,nan,nan
nan,"effective as of September 29, 2024.",nan,nan,nan
"10.20*, **",Form of Performance Award Agreement under 2022 Employee Stock Plan,nan,nan,nan
nan,"effective as of September 29, 2024.",nan,nan,nan
"10.21*, **",Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee,nan,nan,nan
nan,"Stock Plan effective as of September 29, 2024.",nan,nan,nan
"10.22*, **",Form of CEO Performance Award Agreement under 2022 Employee Stock Plan,nan,nan,nan
nan,"effective as of September 29, 2024.",nan,nan,nan
19.1**,Insider Trading Policy,nan,nan,nan
21.1**,Subsidiaries of the Registrant.,nan,nan,nan
23.1**,Consent of Independent Registered Public Accounting Firm.,nan,nan,nan
24.1**,Power of Attorney (included on the Signatures page of this Annual Report on Form,nan,nan,nan
