0,1,2,3,4,5
Foreign exchange contracts,$,26  $,(80)  $,24  $,(76)
Interest rate contracts,nan,5,0,19,0
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,224,(751),213,(230)
Equity contracts,nan,282,"(1,085)",63,(491)
Other contracts,nan,13,(4),12,(3)
Gross amounts of derivatives,nan,550,"(1,920)",331,(800)
Gross amounts of derivatives offset in the balance sheets,nan,(142),145,(151),152
Cash collateral received,nan,0,(126),0,(104)
Net amounts of derivatives,$,408  $,"(1,901)  $",180  $,(752)
Reported as,nan,nan,nan,nan,nan
Short-term investments,$,6  $,0  $,12  $,0
Other current assets,nan,124,0,149,0
Equity and other investments,nan,273,0,0,0
Other long-term assets,nan,5,0,19,0
Other current liabilities,nan,0,"(1,730)",0,(401)
Other long-term liabilities,nan,0,(171),0,(351)
