0,1,2,3,4
nan,2025,2024,2025,2024
Cash paid for amounts included in the measurement,nan,nan,nan,nan
of lease liabilities:,nan,nan,nan,nan
Operating cash flows from operating leases  $,955  $,836  $,"3,124  $","2,433"
Operating cash flows from finance leases,344,190,938,507
Financing cash flows from finance leases,352,323,"1,634",896
Right-of-use assets obtained in exchange for lease,nan,nan,nan,nan
obligations:,nan,nan,nan,nan
Operating leases,"1,918","1,831","6,909","4,482"
Finance leases,"3,241","3,421","14,008","6,921"
