0,1,2,3,4
Deferred tax assets:,nan,nan,nan,nan
Tax credit carryforwards,$,"8,302",$,"6,962"
Accrued liabilities and other reserves,nan,"6,365",nan,"6,515"
Capitalized research and development,nan,"6,294",nan,"1,267"
Deferred revenue,nan,"4,571",nan,"5,742"
Unrealized losses,nan,"2,447",nan,"2,913"
Lease liabilities,nan,"2,421",nan,"2,400"
Other,nan,"2,343",nan,"3,407"
Total deferred tax assets,nan,"32,743",nan,"29,206"
Less: Valuation allowance,nan,"(8,374)",nan,"(7,530)"
"Total deferred tax assets, net",nan,"24,369",nan,"21,676"
Deferred tax liabilities:,nan,nan,nan,nan
Right-of-use assets,nan,"2,179",nan,"2,163"
Depreciation,nan,"1,998",nan,"1,582"
Minimum tax on foreign earnings,nan,"1,940",nan,"1,983"
Unrealized gains,nan,511,nan,942
Other,nan,490,nan,469
Total deferred tax liabilities,nan,"7,118",nan,"7,139"
Net deferred tax assets,$,"17,251",$,"14,537"
