0,1,2,3,4,5,6
Federal:,nan,nan,nan,nan,nan,nan
Current,$,"9,445",$,"7,890",$,"8,257"
Deferred,nan,"(3,644)",nan,"(2,265)",nan,"(7,176)"
Total,nan,"5,801",nan,"5,625",nan,"1,081"
State:,nan,nan,nan,nan,nan,nan
Current,nan,"1,570",nan,"1,519",nan,"1,620"
Deferred,nan,(49),nan,84,nan,(338)
Total,nan,"1,521",nan,"1,603",nan,"1,282"
Foreign:,nan,nan,nan,nan,nan,nan
Current,nan,"8,750",nan,"8,996",nan,"9,424"
Deferred,nan,669,nan,"3,076",nan,"2,740"
Total,nan,"9,419",nan,"12,072",nan,"12,164"
Provision for income taxes,$,"16,741",$,"19,300",$,"14,527"
