0,1,2,3,4,5,6
ricas:,nan,nan,nan,nan,nan,nan
Net sales,$,"162,560",$,"169,658",$,"153,306"
Operating income,$,"60,508",$,"62,683",$,"53,382"
pe:,nan,nan,nan,nan,nan,nan
Net sales,$,"94,294",$,"95,118",$,"89,307"
Operating income,$,"36,098",$,"35,233",$,"32,505"
ter China:,nan,nan,nan,nan,nan,nan
Net sales,$,"72,559",$,"74,200",$,"68,366"
Operating income,$,"30,328",$,"31,153",$,"28,504"
n:,nan,nan,nan,nan,nan,nan
Net sales,$,"24,257",$,"25,977",$,"28,482"
Operating income,$,"11,888",$,"12,257",$,"12,798"
of Asia Pacific:,nan,nan,nan,nan,nan,nan
Net sales,$,"29,615",$,"29,375",$,"26,356"
Operating income,$,"12,066",$,"11,569",$,"9,817"
