0,1,2,3,4,5
nan,ASSETS:,nan,nan,nan,nan
ent assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,nan,$,"29,965",$,"23,646"
Marketable securities,nan,nan,"31,590",nan,"24,658"
"Accounts receivable, net",nan,nan,"29,508",nan,"28,184"
Vendor non-trade receivables,nan,nan,"31,477",nan,"32,748"
Inventories,nan,nan,"6,331",nan,"4,946"
Other current assets,nan,nan,"14,695",nan,"21,223"
Total current assets,nan,nan,"143,566",nan,"135,405"
-current assets:,nan,nan,nan,nan,nan
Marketable securities,nan,nan,"100,544",nan,"120,805"
"Property, plant and equipment, net",nan,nan,"43,715",nan,"42,117"
Other non-current assets,nan,nan,"64,758",nan,"54,428"
Total non-current assets,nan,nan,"209,017",nan,"217,350"
Total assets,nan,$,"352,583",$,"352,755"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
ent liabilities:,nan,nan,nan,nan,nan
Accounts payable,nan,$,"62,611",$,"64,115"
Other current liabilities,nan,nan,"58,829",nan,"60,845"
Deferred revenue,nan,nan,"8,061",nan,"7,912"
Commercial paper,nan,nan,"5,985",nan,"9,982"
Term debt,nan,nan,"9,822",nan,"11,128"
Total current liabilities,nan,nan,"145,308",nan,"153,982"
-current liabilities:,nan,nan,nan,nan,nan
Term debt,nan,nan,"95,281",nan,"98,959"
Other non-current liabilities,nan,nan,"49,848",nan,"49,142"
Total non-current liabilities,nan,nan,"145,129",nan,"148,101"
Total liabilities,nan,nan,"290,437",nan,"302,083"
mitments and contingencies,nan,nan,nan,nan,nan
eholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000",nan,nan,nan,nan,nan
"shares authorized; 15,550,061 and 15,943,425 shares issued and",nan,nan,nan,nan,nan
"outstanding, respectively",nan,nan,"73,812",nan,"64,849"
Accumulated deficit,nan,nan,(214),nan,"(3,068)"
Accumulated other comprehensive loss,nan,nan,"(11,452)",nan,"(11,109)"
Total shareholders’ equity,nan,nan,"62,146",nan,"50,672"
Total liabilities and shareholders’ equity,nan,$,"352,583",$,"352,755"
