0,1,2,3,4
nan,nan,Three Months Ended,nan,Six Months Ended
"(In millions, except per share amounts) (Unaudited)",nan,"December 31,",nan,"December 31,"
nan,nan,2024  2023,nan,2024  2023
Common stock and paid-in capital,nan,nan,nan,nan
"Balance, beginning of period",$,"102,976   $ 95,508",$,"100,923$ 93,718"
Common stock issued,nan,256  261,nan,962946
Common stock repurchased,nan,"(1,491 )(1,300 )",nan,"(2,976 )(2,701 )"
Stock-based compensation expense,nan,"3,089  2,828",nan,"5,9215,335"
"Other, net",nan,(1 )183,nan,(1 )182
"Balance, end of period",nan,"104,829  97,480",nan,"104,82997,480"
Retained earnings,nan,nan,nan,nan
"Balance, beginning of period",nan,"188,929  132,143",nan,"173,144118,848"
Net income,nan,"24,108  21,870",nan,"48,77544,161"
Common stock cash dividends,nan,"(6,169 )(5,574 )",nan,"(12,340 )(11,145 )"
Common stock repurchased,nan,"(3,386 )(2,702 )",nan,"(6,097 )(6,127 )"
"Balance, end of period",nan,"203,482  145,737",nan,"203,482145,737"
Accumulated other comprehensive loss,nan,nan,nan,nan
"Balance, beginning of period",nan,"(4,182 )(6,937 )",nan,"(5,590 )(6,343 )"
Other comprehensive income (loss),nan,"(1,434 )1,988",nan,"(26 )1,394"
"Balance, end of period",nan,"(5,616 )(4,949 )",nan,"(5,616 )(4,949 )"
Total stockholders’ equity,$,"302,695   $ 238,268",$,"302,695$ 238,268"
Cash dividends declared per common share,$,0.83   $ 0.75,$,1.66$ 1.50
