0,1,2,3,5,6,7,8
nan,nan,2024,2023,nan,2024,nan,2023
Operating lease cost,$,"1,293$",817,$,"2,453",$,"1,591"
Finance lease cost:,nan,nan,nan,nan,nan,nan,nan
Amortization of right-of-use assets,$,830$,408,$,"1,524",$,788
Interest on lease liabilities,nan,337,168,nan,611,nan,317
Total finance lease cost,$,"1,167$",576,$,"2,135",$,"1,105"
Supplemental cash flow information related to leases was as follows:,nan,nan,nan,nan,nan,nan,nan
nan,nan,Three Months Ended,nan,nan,nan,Six Months Ended,nan
(In millions),nan,nan,"December 31,",nan,nan,nan,"December 31,"
nan,nan,2024,2023,nan,2024,nan,2023
Cash paid for amounts included in the,nan,nan,nan,nan,nan,nan,nan
measurement of lease liabilities:,nan,nan,nan,nan,nan,nan,nan
Operating cash flows from operating leases,$,962$,803,$,"2,169",$,"1,597"
Operating cash flows from finance leases,nan,319,168,nan,594,nan,317
Financing cash flows from finance leases,nan,480,288,nan,"1,282",nan,573
Right-of-use assets obtained in exchange for lease,nan,nan,nan,nan,nan,nan,nan
obligations:,nan,nan,nan,nan,nan,nan,nan
Operating leases,nan,"3,098",847,nan,"4,991",nan,"2,651"
Finance leases,nan,"6,435","1,796",nan,"10,767",nan,"3,500"
