0,1,2,3,4,5,6,7
nan,nan,2024,2023,nan,2024,nan,2023
Revenue,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"29,437$","25,854",$,"57,754",$,"51,080"
Intelligent Cloud,nan,"25,544","21,525",nan,"49,636",nan,"41,538"
More Personal Computing,nan,"14,651","14,641",nan,"27,827",nan,"25,919"
Total,$,"69,632$","62,020",$,"135,217",$,"118,537"
Operating Income,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"16,885$","14,515",$,"33,401",$,"28,812"
Intelligent Cloud,nan,"10,851","9,555",nan,"21,354",nan,"18,463"
More Personal Computing,nan,"3,917","2,962",nan,"7,450",nan,"6,652"
Total,$,"31,653$","27,032",$,"62,205",$,"53,927"
No sales to an individual customer or country other than the United States accounted for more than 10% of revenue fo,nan,nan,nan,nan,nan,nan,nan
"the three or six months ended December 31, 2024 or 2023. Revenue, classified by the major geographic areas in whic",nan,nan,nan,nan,nan,nan,nan
"our customers were located, was as follows:",nan,nan,nan,nan,nan,nan,nan
nan,nan,Three Months Ended,nan,nan,Six Months Ended,nan,nan
(In millions),nan,nan,"December 31,",nan,nan,nan,"December 31,"
nan,nan,2024,2023,nan,2024,nan,2023
United States (a),$,"35,537$","32,295",$,"69,450",$,"61,107"
Other countries,nan,"34,095","29,725",nan,"65,767",nan,"57,430"
Total,$,"69,632$","62,020",$,"135,217",$,"118,537"
