0,1,2,3,4,5,6,7,8
nan,nan,2024,nan,2023,nan,2024,nan,2023
Server products and cloud services,$,"23,641",$,"19,597",$,"45,796",$,"37,659"
Microsoft 365 Commercial products and cloud services,nan,"21,117",nan,"18,321",nan,"41,566",nan,"36,365"
Gaming,nan,"6,581",nan,"7,111",nan,"12,202",nan,"11,030"
LinkedIn,nan,"4,587",nan,"4,195",nan,"8,879",nan,"8,108"
Windows and Devices,nan,"4,512",nan,"4,363",nan,"8,841",nan,"8,703"
Search and news advertising,nan,"3,558",nan,"3,168",nan,"6,783",nan,"6,186"
Enterprise and partner services,nan,"1,892",nan,"1,917",nan,"3,820",nan,"3,861"
Dynamics products and cloud services,nan,"1,913",nan,"1,659",nan,"3,762",nan,"3,285"
Microsoft 365 Consumer products and cloud services,nan,"1,821",nan,"1,679",nan,"3,548",nan,"3,322"
Other,nan,10,nan,10,nan,20,nan,18
Total,$,"69,632",$,"62,020",$,"135,217",$,"118,537"
