0,1,2,3,4,5,6,7,8,9,10
nan,nan,2024,nan,2023,nan,nan,2024,nan,2023,nan
Revenue,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"29,437",$,"25,854",14%,$,"57,754",$,"51,080",13%
Intelligent Cloud,nan,"25,544",nan,"21,525",19%,nan,"49,636",nan,"41,538",19%
More Personal Computing,nan,"14,651",nan,"14,641",0%,nan,"27,827",nan,"25,919",7%
Total,$,"69,632",$,"62,020",12%,$,"135,217","$ 118,537",nan,14%
Operating Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"16,885",$,"14,515",16%,$,"33,401",$,"28,812",16%
Intelligent Cloud,nan,"10,851",nan,"9,555",14%,nan,"21,354",nan,"18,463",16%
More Personal Computing,nan,"3,917",nan,"2,962",32%,nan,"7,450",nan,"6,652",12%
Total,$,"31,653",$,"27,032",17%,$,"62,205",$,"53,927",15%
