0,1,2,3,4,5,6,8,9,10,11,12,13
"December 31, 2024",nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level 2  $,"3,515",$,0.0,$,0$,"3,515",$,"3,515  $",0,$,0
Certificates of deposit,Level 2,"3,349",nan,0.0,nan,0,"3,349",nan,"3,302",47,nan,0
U.S. government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 1,"46,013",nan,1.0,nan,"(2,233 )","43,781",nan,18,"43,763",nan,0
U.S. agency securities,Level 2,11,nan,0.0,nan,0,11,nan,0,11,nan,0
Foreign government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,311,nan,7.0,nan,(17 ),301,nan,0,301,nan,0
Mortgage- and asset-,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
backed securities,Level 2,987,nan,5.0,nan,(33 ),959,nan,0,959,nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,"8,693",nan,38.0,nan,(198 ),"8,533",nan,0,"8,533",nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 3,"2,376",nan,27.0,nan,(3 ),"2,400",nan,0,123,nan,"2,277"
Municipal securities,Level 2,254,nan,1.0,nan,(11 ),244,nan,0,244,nan,0
Municipal securities,Level 3,104,nan,0.0,nan,(16 ),88,nan,0,88,nan,0
Total debt,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
investments,$,"65,613",$,79.0,$,"(2,511 ) $","63,181",$,"6,835 $","54,069",$,"2,277"
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level 1,nan,nan,,nan,$,"4,425",$,"1,000  $",0,$,"3,425"
Equity investments,Other,nan,nan,,nan,nan,"9,879",nan,0,0,nan,"9,879"
Total equity,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,,nan,$,"14,304",$,"1,000 $",0,$,"13,304"
Cash,nan,nan,nan,,nan,$,"9,647",$,"9,647  $",0,$,0
"Derivatives, net (a)",nan,nan,nan,,nan,nan,4,nan,0,4,nan,0
Total,nan,nan,nan,,nan,$,"87,136",$,"17,482  $","54,073",$,"15,581"
