0,1,2,3
Income Statements,nan,nan,56
Comprehensive Income Statements,nan,nan,57
Balance Sheets,nan,nan,58
Cash Flows Statements,nan,nan,59
Stockholders’ Equity Statements,nan,nan,60
Notes to Financial Statements,nan,nan,61
Report of Independent Registered Public Accounting Firm,nan,nan,94
(b) Exhibit Listing,nan,nan,nan
nan,nan,Incorporated by Reference,nan
Exhibit Filed,nan,Period,nan
Number Exhibit Description Herewith,Form,Ending Exhibit,Filing Date
3.1 Amended and Restated Articles of,8-K,3.1,12/1/2016
Incorporation of Microsoft,nan,nan,nan
Corporation,nan,nan,nan
3.2 Bylaws of Microsoft Corporation,8-K,3.2,7/3/2023
"4.1 Indenture, dated as of May 18,",S-3ASR,4.1,10/29/2015
"2009, between Microsoft",nan,nan,nan
Corporation and The Bank of New,nan,nan,nan
"York Mellon Trust Company, N.A.,",nan,nan,nan
as Trustee (“Base Indenture”),nan,nan,nan
4.2 Form of First Supplemental,8-K,4.2,5/15/2009
Indenture for 2.95% Notes due,nan,nan,nan
"2014, 4.20% Notes due 2019, and",nan,nan,nan
"5.20% Notes due 2039, dated as of",nan,nan,nan
"May 18, 2009, between Microsoft",nan,nan,nan
Corporation and The Bank of New,nan,nan,nan
"York Mellon Trust Company, N.A.,",nan,nan,nan
"as Trustee, to the Base Indenture",nan,nan,nan
4.5 Form of Second Supplemental,8-K,4.2,9/27/2010
Indenture for 0.875% Notes due,nan,nan,nan
"2013, 1.625% Notes due 2015,",nan,nan,nan
"3.00% Notes due 2020, and 4.50%",nan,nan,nan
"Notes due 2040, dated as of",nan,nan,nan
"September 27, 2010, between",nan,nan,nan
Microsoft Corporation and The,nan,nan,nan
Bank of New York Mellon Trust,nan,nan,nan
"Company, N.A., as Trustee, to the",nan,nan,nan
"Indenture, dated as of May 18,",nan,nan,nan
"2009, between Microsoft",nan,nan,nan
Corporation and The Bank of New,nan,nan,nan
"York Mellon Trust Company, N.A.,",nan,nan,nan
as Trustee,nan,nan,nan
