0,2,3,4,6
(In millions),nan,nan,nan,nan
"Year Ended June 30,",2024,nan,2023,2022
Operating lease cost $,"3,555",$,"2,875   $","2,461"
Finance lease cost:,nan,nan,nan,nan
Amortization of right-of-use assets $,"1,800",$,"1,352   $",980
Interest on lease liabilities,734,nan,501,429
Total finance lease cost $,"2,534",$,"1,853   $","1,409"
Supplemental cash flow information related to leases was as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Year Ended June 30,",2024,nan,2023,2022
Cash paid for amounts included in the measurement of lease,nan,nan,nan,nan
liabilities:,nan,nan,nan,nan
Operating cash flows from operating leases $,"3,550",$,"2,706   $","2,368"
Operating cash flows from finance leases,734,nan,501,429
Financing cash flows from finance leases,"1,286",nan,"1,056",896
Right-of-use assets obtained in exchange for lease obligations:,nan,nan,nan,nan
Operating leases,"6,703",nan,"3,514","5,268"
Finance leases,"11,633",nan,"3,128","4,234"
Supplemental balance sheet information related to leases was as follows:,nan,nan,nan,nan
"(In millions, except lease term and discount rate)",nan,nan,nan,nan
"June 30,",nan,nan,2024,2023
Operating Leases,nan,nan,nan,nan
Operating lease right-of-use assets,$,nan,"18,961  $","14,346"
Other current liabilities,$,nan,"3,580  $","2,409"
Operating lease liabilities,nan,nan,"15,497","12,728"
Total operating lease liabilities,$,nan,"19,077  $","15,137"
Finance Leases,nan,nan,nan,nan
"Property and equipment, at cost",$,nan,"32,248  $","20,538"
Accumulated depreciation,nan,nan,"(6,386 )","(4,647 )"
"Property and equipment, net",$,nan,"25,862  $","15,891"
Other current liabilities,$,nan,"2,349  $","1,197"
Other long-term liabilities,nan,nan,"24,796","15,870"
Total finance lease liabilities,$,nan,"27,145  $","17,067"
Weighted Average Remaining Lease Term,nan,nan,nan,nan
Operating leases,nan,nan,7 years,8 years
Finance leases,nan,12 years,nan,11 years
Weighted Average Discount Rate,nan,nan,nan,nan
