0,1,2,3,4,5,6,7,8
nan,nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,Unrealized,nan,Unrealized,nan,Total,nan,Unrealized
(In millions),nan,Fair Value  Losses,nan,Fair Value  Losses,nan,Fair Value,nan,Losses
"June 30, 2024",nan,nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan,nan
securities,$,529  $ (12 ),$,"45,821  $ (2,936 )",$,"46,350",$,"(2,948 )"
Foreign government bonds,nan,79  (2 ),nan,180  (14 ),nan,259,nan,(16 )
Mortgage- and asset-backed,nan,nan,nan,nan,nan,nan,nan,nan
securities,nan,201  (1 ),nan,409  (34 ),nan,610,nan,(35 )
Corporate notes and bonds,nan,"1,310  (9 )",nan,"5,779  (310 )",nan,"7,089",nan,(319 )
Municipal securities,nan,38  (1 ),nan,243  (29 ),nan,281,nan,(30 )
Total,$,"2,157  $ (25 )",$,"52,432  $ (3,323 )",$,"54,589",$,"(3,348 )"
nan,nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,Unrealized,nan,Unrealized,nan,Total,nan,Unrealized
(In millions),nan,Fair Value  Losses,nan,Fair Value  Losses,nan,Fair Value,nan,Losses
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan,nan
securities,$,"7,950  $ (336 )",$,"45,273  $ (3,534 )",$,"53,223",$,"(3,870 )"
Foreign government bonds,nan,77  (5 ),nan,391  (19 ),nan,468,nan,(24 )
Mortgage- and asset-backed,nan,nan,nan,nan,nan,nan,nan,nan
securities,nan,257  (5 ),nan,412  (34 ),nan,669,nan,(39 )
Corporate notes and bonds,nan,"2,326  (49 )",nan,"7,336  (534 )",nan,"9,662",nan,(583 )
Municipal securities,nan,111  (3 ),nan,186  (31 ),nan,297,nan,(34 )
Total,$,"10,721  $ (398 )",$,"53,598  $ (4,152 )",$,"64,319",$,"(4,550 )"
