0,1,3,4,5,6
"Year ended June 30,",2024,nan,2023,nan,2022
Dividends per share (quarterly amounts) $,0.68 – 0.75,$,0.62 – 0.68   $,nan,0.56 – 0.62
Interest rates,3.8% – 5.6%,nan,2.0% – 5.4%,nan,0.03% – 3.6%
"During fiscal year 2024, the following activity occurred under our stock plans:",nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,Weighted Average
nan,nan,nan,nan,nan,Grant-Date Fair
nan,nan,nan,Shares,nan,Value
nan,nan,nan,(In millions),nan,nan
Stock Awards,nan,nan,nan,nan,nan
"Nonvested balance, beginning of year",nan,nan,96,$,250.37
Granted (a),nan,nan,41,nan,339.46
Vested,nan,nan,(42 ),nan,246.71
Forfeited,nan,nan,(7 ),nan,270.59
"Nonvested balance, end of year",nan,nan,88,$,292.28
