0,2,3,4,5,6,7
"Year Ending June 30,",nan,nan,nan,nan,nan,nan
2025,nan,nan,nan,$,nan,"2,250"
2026,nan,nan,nan,nan,nan,"3,000"
2027,nan,nan,nan,nan,nan,"9,250"
2028,nan,nan,nan,nan,nan,0
2029,nan,nan,nan,nan,nan,"1,876"
Thereafter,nan,nan,nan,nan,nan,"34,845"
Total,nan,nan,nan,$,nan,"51,221"
NOTE 12 — INCOME TAXES,nan,nan,nan,nan,nan,nan
Provision for Income Taxes,nan,nan,nan,nan,nan,nan
The components of the provision for income taxes were as follows:,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2024,nan,2023,nan,2022
Current Taxes,nan,nan,nan,nan,nan,nan
U.S. federal,$,"12,165",$,"14,009",$,"8,329"
U.S. state and local,nan,"2,366",nan,"2,322",nan,"1,679"
Foreign,nan,"9,858",nan,"6,678",nan,"6,672"
Current taxes,$,"24,389",$,"23,009",$,"16,680"
Deferred Taxes,nan,nan,nan,nan,nan,nan
U.S. federal,$,"(4,791 )",$,"(6,146 )",$,"(4,815 )"
U.S. state and local,nan,(379 ),nan,(477 ),nan,"(1,062 )"
Foreign,nan,432,nan,564,nan,175
Deferred taxes,$,"(4,738 )",$,"(6,059 )",$,"(5,702 )"
Provision for income taxes,$,"19,651",$,"16,950",$,"10,978"
U.S. and foreign components of income before income taxes were as follows:,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2024,nan,2023,nan,2022
U.S.,$,"62,886",$,"52,917",$,"47,837"
Foreign,nan,"44,901",nan,"36,394",nan,"35,879"
Income before income taxes,$,"107,787",$,"89,311",$,"83,716"
