0,1,2,3
"Year Ended June 30,",2024,2023,2022
Federal statutory rate,21.0%,21.0%,21.0%
Effect of:,nan,nan,nan
Foreign earnings taxed at lower rates,(1.4)%,(1.8)%,(1.3)%
Impact of intangible property transfers,0%,0%,(3.9)%
Foreign-derived intangible income deduction,(1.1)%,(1.3)%,(1.1)%
"State income taxes, net of federal benefit",1.5%,1.6%,1.4%
Research and development credit,(1.1)%,(1.1)%,(0.9)%
Excess tax benefits relating to stock-based compensation,(1.1)%,(0.7)%,(1.9)%
"Interest, net",1.1%,0.8%,0.5%
"Other reconciling items, net",(0.7)%,0.5%,(0.7)%
Effective rate,18.2%,19.0%,13.1%
