0,1,2,3,4,5,6,7
Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,nan,nan,$,"1,492",$,"1,492"
Interest rate contracts purchased,nan,nan,nan,nan,"1,100",nan,"1,078"
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,nan,nan,nan,"7,167",nan,"7,874"
Foreign exchange contracts sold,nan,nan,nan,nan,"31,793",nan,"25,159"
Equity contracts purchased,nan,nan,nan,nan,"4,016",nan,"3,867"
Equity contracts sold,nan,nan,nan,nan,"2,165",nan,"2,154"
Other contracts purchased,nan,nan,nan,nan,"2,113",nan,"1,224"
Other contracts sold,nan,nan,nan,nan,811,nan,581
Fair Values of Derivative Instruments,nan,nan,nan,nan,nan,nan,nan
The following table presents our derivative instruments:,nan,nan,nan,nan,nan,nan,nan
nan,Derivative,nan,Derivative,nan,Derivative,nan,Derivative
(In millions),Assets,nan,Liabilities,nan,Assets,nan,Liabilities
nan,nan,nan,"June 30,",nan,nan,nan,"June 30,"
nan,nan,nan,2024,nan,nan,nan,2023
Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts $,24,$,(76 ),$,34,$,(67 )
Interest rate contracts,19,nan,0,nan,16,nan,0
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,213,nan,(230 ),nan,249,nan,(332 )
Equity contracts,63,nan,(491 ),nan,165,nan,(400 )
Other contracts,12,nan,(3 ),nan,5,nan,(6 )
Gross amounts of derivatives,331,nan,(800 ),nan,469,nan,(805 )
Gross amounts of derivatives offset in the balance sheets,(151 ),nan,152,nan,(202 ),nan,206
Cash collateral received,0,nan,(104 ),nan,0,nan,(125 )
Net amounts of derivatives $,180,$,(752 ),$,267,$,(724 )
Reported as,nan,nan,nan,nan,nan,nan,nan
Short-term investments $,12,$,0,$,6,$,0
Other current assets,149,nan,0,nan,245,nan,0
Other long-term assets,19,nan,0,nan,16,nan,0
Other current liabilities,0,nan,(401 ),nan,0,nan,(341 )
Other long-term liabilities,0,nan,(351 ),nan,0,nan,(383 )
Total $,180,$,(752 ),$,267,$,(724 )
Gross derivative assets and liabilities subject to legally enforceable master netting agreements for which we hav,nan,nan,nan,nan,nan,nan,nan
"elected to offset were $304 million and $800 million, respectively, as of June 30, 2024, and $442 million and $80",nan,nan,nan,nan,nan,nan,nan
"million, respectively, as of June 30, 2023.",nan,nan,nan,nan,nan,nan,nan
The following table presents the fair value of our derivatives instruments on a gross basis:,nan,nan,nan,nan,nan,nan,nan
(In millions),Level 1,nan,Level 2,nan,Level 3,nan,Total
"June 30, 2024",nan,nan,nan,nan,nan,nan,nan
Derivative assets $,0,$,327,$,4,$,331
Derivative liabilities,(1 ),nan,(799 ),nan,0,nan,(800 )
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan
