0,1,2,3,4,5
"(In millions, except percentages and per share amounts)",nan,2024,nan,2023,Change
Gross margin,$,"171,008",$,"146,052",17%
"Severance, hardware-related impairment, and lease",nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,152,*
Adjusted gross margin (non-GAAP),$,"171,008",$,"146,204",17%
Operating income,$,"109,433",$,"88,523",24%
"Severance, hardware-related impairment, and lease",nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,"1,171",*
Adjusted operating income (non-GAAP),$,"109,433",$,"89,694",22%
Net income,$,"88,136",$,"72,361",22%
"Severance, hardware-related impairment, and lease",nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,946,*
Adjusted net income (non-GAAP),$,"88,136",$,"73,307",20%
Diluted earnings per share,$,11.80,$,9.68,22%
"Severance, hardware-related impairment, and lease",nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0.13,*
Adjusted diluted earnings per share (non-GAAP),$,11.80,$,9.81,20%
