0,1,2,3,4,5,6
"(In millions, except per share amounts)",nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2024,nan,2023,nan,2022
Common stock and paid-in capital,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"93,718",$,"86,939",$,"83,111"
Common stock issued,nan,"2,002",nan,"1,866",nan,"1,841"
Common stock repurchased,nan,"(5,712 )",nan,"(4,696 )",nan,"(5,688 )"
Stock-based compensation expense,nan,"10,734",nan,"9,611",nan,"7,502"
"Other, net",nan,181,nan,(2 ),nan,173
"Balance, end of period",nan,"100,923",nan,"93,718",nan,"86,939"
Retained earnings,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"118,848",nan,"84,281",nan,"57,055"
Net income,nan,"88,136",nan,"72,361",nan,"72,738"
Common stock cash dividends,nan,"(22,293 )",nan,"(20,226 )",nan,"(18,552 )"
Common stock repurchased,nan,"(11,547 )",nan,"(17,568 )",nan,"(26,960 )"
"Balance, end of period",nan,"173,144",nan,"118,848",nan,"84,281"
Accumulated other comprehensive loss,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"(6,343 )",nan,"(4,678 )",nan,"1,822"
Other comprehensive income (loss),nan,753,nan,"(1,665 )",nan,"(6,500 )"
"Balance, end of period",nan,"(5,590 )",nan,"(6,343 )",nan,"(4,678 )"
Total stockholders’ equity,$,"268,477",$,"206,223",$,"166,542"
Cash dividends declared per common share,$,3.00,$,2.72,$,2.48
