0,1,2
Marketing-related $,"11,619",24 years
Technology-based,"9,689",4 years
Customer-related,661,4 years
Fair value of intangible assets acquired $,"21,969",15 years
Following is the net impact of the Activision Blizzard acquisition on our consolidated income statements since the dat,nan,nan
of acquisition:,nan,nan
(In millions),nan,nan
"Year Ended June 30,",nan,2024
Revenue,nan,"$ 5,729"
Operating loss,nan,"(1,362 )"
The change of Activision Blizzard content from third-party to first-party is reflected in the net impact.,nan,nan
Following are the supplemental consolidated financial results of Microsoft Corporation on an unaudited pro forma basis,nan,nan
"as if the acquisition had been consummated on July 1, 2022:",nan,nan
"(In millions, except per share amounts)",nan,nan
"Year Ended June 30,",2024,2023
Revenue $,"247,442","$ 219,790"
Net income,"88,308","71,383"
Diluted earnings per share,11.82,9.55
