0,1,2,3,4,5,6
"(In millions, except per share amounts)",nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2024,nan,2023,nan,2022
Revenue:,nan,nan,nan,nan,nan,nan
Product,$,"64,773",$,"64,699",$,"72,732"
Service and other,nan,"180,349",nan,"147,216",nan,"125,538"
Total revenue,nan,"245,122",nan,"211,915",nan,"198,270"
Cost of revenue:,nan,nan,nan,nan,nan,nan
Product,nan,"15,272",nan,"17,804",nan,"19,064"
Service and other,nan,"58,842",nan,"48,059",nan,"43,586"
Total cost of revenue,nan,"74,114",nan,"65,863",nan,"62,650"
Gross margin,nan,"171,008",nan,"146,052",nan,"135,620"
Research and development,nan,"29,510",nan,"27,195",nan,"24,512"
Sales and marketing,nan,"24,456",nan,"22,759",nan,"21,825"
General and administrative,nan,"7,609",nan,"7,575",nan,"5,900"
Operating income,nan,"109,433",nan,"88,523",nan,"83,383"
"Other income (expense), net",nan,"(1,646 )",nan,788,nan,333
Income before income taxes,nan,"107,787",nan,"89,311",nan,"83,716"
Provision for income taxes,nan,"19,651",nan,"16,950",nan,"10,978"
Net income,$,"88,136",$,"72,361",$,"72,738"
Earnings per share:,nan,nan,nan,nan,nan,nan
Basic,$,11.86,$,9.72,$,9.70
Diluted,$,11.80,$,9.68,$,9.65
Weighted average shares outstanding:,nan,nan,nan,nan,nan,nan
Basic,nan,"7,431",nan,"7,446",nan,"7,496"
Diluted,nan,"7,469",nan,"7,472",nan,"7,540"
