0,1,2,3,4
(In millions),nan,nan,nan,nan
"June 30,",nan,2024,nan,2023
Productivity and Business Processes,$,"30,879",$,"27,572"
Intelligent Cloud,nan,"23,117",nan,"21,563"
More Personal Computing,nan,"6,188",nan,"4,678"
Total,$,"60,184",$,"53,813"
Changes in unearned revenue were as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Year Ended June 30, 2024",nan,nan,nan,nan
"Balance, beginning of period",nan,nan,$,"53,813"
Deferral of revenue,nan,nan,nan,"148,701"
Recognition of unearned revenue,nan,nan,nan,"(142,330 )"
"Balance, end of period",nan,nan,$,"60,184"
