0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"32,695",nan,$,"29,965"
Marketable securities,"34,455",nan,"31,590",nan,nan
"Accounts receivable, net","21,837",nan,"29,508",nan,nan
Vendor non-trade receivables,"19,313",nan,"31,477",nan,nan
Inventories,"6,232",nan,"6,331",nan,nan
Other current assets,"13,884",nan,"14,695",nan,nan
Total current assets,"128,416",nan,"143,566",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"95,187",nan,"100,544",nan,nan
"Property, plant and equipment, net","43,546",nan,"43,715",nan,nan
Other non-current assets,"70,262",nan,"64,758",nan,nan
Total non-current assets,"208,995",nan,"209,017",nan,nan
Total assets,$,"337,411",nan,$,"352,583"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"45,753",nan,$,"62,611"
Other current liabilities,"57,298",nan,"58,829",nan,nan
Deferred revenue,"8,012",nan,"8,061",nan,nan
Commercial paper,"1,997",nan,"5,985",nan,nan
Term debt,"10,762",nan,"9,822",nan,nan
Total current liabilities,"123,822",nan,"145,308",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"91,831",nan,"95,281",nan,nan
Other non-current liabilities,"47,564",nan,"49,848",nan,nan
Total non-current liabilities,"139,395",nan,"145,129",nan,nan
Total liabilities,"263,217",nan,"290,437",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 15,337,686 and 15,550,061 shares issued and outstanding, respectively","78,815",nan,"73,812",nan,nan
Retained earnings/(Accumulated deficit),"4,339",nan,(214),nan,nan
Accumulated other comprehensive loss,"(8,960)",nan,"(11,452)",nan,nan
Total shareholders’ equity,"74,194",nan,"62,146",nan,nan
Total liabilities and shareholders’ equity,$,"337,411",nan,$,"352,583"
