0,1,2,3,4,5,6,7,8
nan,nan,nan,nan,nan,nan,Cash and,Current,Non-Current
nan,Adjusted,Unrealized,Unrealized,nan,Fair,Cash,Marketable,Marketable
nan,Cost,Gains,Losses,nan,Value,Equivalents,Securities,Securities
Cash,"$ 28,227",$ —,$ —,$,"28,227","$ 28,227",$ —,$ —
Level 1:,nan,nan,nan,nan,nan,nan,nan,nan
Money market funds,"1,353",—,—,nan,"1,353","1,353",—,—
Mutual funds,464,66,(7),nan,523,—,523,—
Subtotal,"1,817",66,(7),nan,"1,876","1,353",523,—
Level 2 (1):,nan,nan,nan,nan,nan,nan,nan,nan
U.S. Treasury securities,"18,150",1,(933),nan,"17,218","1,895","4,133","11,190"
U.S. agency securities,"5,775",—,(446),nan,"5,329",233,581,"4,515"
Non-U.S. government securities,"17,319",37,(666),nan,"16,690",—,"11,289","5,401"
Certificates of deposit and time,nan,nan,nan,nan,nan,nan,nan,nan
deposits,976,—,—,nan,976,656,320,—
Commercial paper,"1,482",—,—,nan,"1,482",274,"1,208",—
Corporate debt securities,"71,612",90,"(3,694)",nan,"68,008",57,"15,096","52,855"
Municipal securities,511,—,(15),nan,496,—,188,308
Mortgage- and asset-backed,nan,nan,nan,nan,nan,nan,nan,nan
securities,"24,044",37,"(2,046)",nan,"22,035",—,"1,117","20,918"
Subtotal,"139,869",165,"(7,800)",nan,"132,234","3,115","33,932","95,187"
Total (2),"$ 169,913",$ 231,"$ (7,807)",$,"162,337","$ 32,695","$ 34,455","$ 95,187"
