0,1,2,3,4
of equity awards,(222),(281),"(1,882)","(1,715)"
Share-based compensation,"3,049","2,760","6,133","5,744"
Ending balances,"78,815","69,568","78,815","69,568"
ined earnings/(Accumulated deficit):,nan,nan,nan,nan
Beginning balances,"8,242","3,240",(214),"(3,068)"
Net income,"23,636","24,160","57,552","54,158"
Dividends and dividend equivalents declared,"(3,746)","(3,684)","(7,520)","(7,396)"
Common stock withheld related to net share settlement,nan,nan,nan,nan
of equity awards,(71),(152),"(1,089)","(1,130)"
Common stock repurchased,"(23,722)","(19,228)","(44,390)","(38,228)"
Ending balances,"4,339","4,336","4,339","4,336"
mulated other comprehensive income/(loss):,nan,nan,nan,nan
Beginning balances,"(9,378)","(12,912)","(11,452)","(11,109)"
Other comprehensive income/(loss),418,"1,166","2,492",(637)
Ending balances,"(8,960)","(11,746)","(8,960)","(11,746)"
