0,1,2,3,4,5,6,7,8
nan,nan,"March 30,",nan,"April 1,",nan,"March 30,",nan,"April 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
Numerator:,nan,nan,nan,nan,nan,nan,nan,nan
Net income,$,"23,636",$,"24,160",$,"57,552",$,"54,158"
Denominator:,nan,nan,nan,nan,nan,nan,nan,nan
Weighted-average basic shares outstanding,nan,"15,405,856",nan,"15,787,154",nan,"15,457,810",nan,"15,839,939"
Effect of dilutive share-based awards,nan,"58,853",nan,"59,896",nan,"62,865",nan,"61,445"
Weighted-average diluted shares,nan,"15,464,709",nan,"15,847,050",nan,"15,520,675",nan,"15,901,384"
Basic earnings per share,$,1.53,$,1.53,$,3.72,$,3.42
Diluted earnings per share,$,1.53,$,1.52,$,3.71,$,3.41
