0,1,2,3,4,5,6,7,8
nan,nan,"March 30,",nan,"April 1,",nan,"March 30,",nan,"April 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
ricas:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"37,273",$,"37,784",$,"87,703",$,"87,062"
Operating income,$,"15,074",$,"13,927",$,"35,431",$,"31,791"
pe:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"24,123",$,"23,945",$,"54,520",$,"51,626"
Operating income,$,"9,991",$,"9,368",$,"22,702",$,"19,385"
ter China:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"16,372",$,"17,812",$,"37,191",$,"41,717"
Operating income,$,"6,700",$,"7,531",$,"15,322",$,"17,968"
n:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"6,262",$,"7,176",$,"14,029",$,"13,931"
Operating income,$,"3,135",$,"3,394",$,"6,954",$,"6,630"
of Asia Pacific:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"6,723",$,"8,119",$,"16,885",$,"17,654"
Operating income,$,"2,806",$,"3,268",$,"7,385",$,"7,119"
