0,1,2,3,4,5,6,7
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2024,nan,2023,nan,2024,nan,2023
Designated as Fair Value Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Interest rate contracts,nan,nan,nan,nan,nan,nan,nan
Derivatives $,(21 ),$,1,$,(15 ),$,(37 )
Hedged items,10,nan,(15 ),nan,(21 ),nan,20
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan,nan,nan
Amount reclassified from accumulated other,nan,nan,nan,nan,nan,nan,nan
comprehensive loss,(37 ),nan,18,nan,(32 ),nan,62
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,299,nan,(10 ),nan,171,nan,(20 )
Equity contracts,(22 ),nan,(61 ),nan,(196 ),nan,(230 )
Other contracts,(8 ),nan,1,nan,(5 ),nan,(34 )
"Gains (losses), net of tax, on derivative instruments recognized in our consolidated comprehensive income statements",nan,nan,nan,nan,nan,nan,nan
were as follows:,nan,nan,nan,nan,nan,nan,nan
nan,Three Months Ended,nan,nan,nan,Nine Months Ended,nan,nan
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2024,nan,2023,nan,2024,nan,2023
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan,nan,nan
Included in effectiveness assessment $,(19 ),$,5,$,3,$,14
NOTE 6 — INVENTORIES,nan,nan,nan,nan,nan,nan,nan
The components of inventories were as follows:,nan,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,"March 31,",nan,nan,"June 30,"
nan,nan,nan,nan,nan,2024,nan,2023
Raw materials,nan,nan,$,nan,341  $,nan,709
Work in process,nan,nan,nan,nan,12,nan,23
Finished goods,nan,nan,nan,nan,951,nan,"1,768"
Total,nan,nan,$,nan,"1,304  $",nan,"2,500"
