0,1,2,3,4,5,6,7
year),(calendar year),Rate,Rate,nan,2024,nan,2023
2009 issuance of $3.8 billion,2039,5.20%,5.24%,$,520,$,520
2010 issuance of $4.8 billion,2040,4.50%,4.57%,nan,486,nan,486
2011 issuance of $2.3 billion,2041,5.30%,5.36%,nan,718,nan,718
2012 issuance of $2.3 billion,2042,3.50%,3.57%,nan,454,nan,454
2013 issuance of $5.2 billion,2043,3.75% –4.88%,3.83% –4.92%,nan,314,nan,"1,814"
2013 issuance of €4.1 billion,2028 –2033,2.63% –3.13%,2.69% –3.22%,nan,"2,484",nan,"2,509"
2015 issuance of $23.8 billion,2025 –2055,2.70% –4.75%,2.77% –4.78%,nan,"9,805",nan,"9,805"
2016 issuance of $19.8 billion,2026 –2056,2.40% –3.95%,2.46% –4.03%,nan,"7,930",nan,"9,430"
2017 issuance of $17.1 billion,nan,nan,nan,nan,nan,nan,nan
(a),2026 –2057,3.30% –4.50%,3.38% –5.49%,nan,"6,833",nan,"8,945"
2020 issuance of $10.1 billion,nan,nan,nan,nan,nan,nan,nan
(a),2030 –2060,1.35% –2.68%,2.53% –5.43%,nan,"10,111",nan,"10,000"
2021 issuance of $8.2 billion,2052 –2062,2.92% –3.04%,2.92% –3.04%,nan,"8,185",nan,"8,185"
2023 issuance of $3.4 billion (a),2026 –2050,1.35% –4.50%,5.16% –5.49%,nan,"3,401",nan,0
Total face value,nan,nan,nan,nan,"51,241",nan,"52,866"
Unamortized discount and,nan,nan,nan,nan,nan,nan,nan
issuance costs,nan,nan,nan,nan,"(1,246 )",nan,(438 )
Hedge fair value adjustments,nan,nan,nan,nan,nan,nan,nan
(b),nan,nan,nan,nan,(85 ),nan,(106 )
Premium on debt exchange,nan,nan,nan,nan,"(5,003 )",nan,"(5,085 )"
Total debt,nan,nan,nan,nan,"44,907",nan,"47,237"
Current portion of long-term,nan,nan,nan,nan,nan,nan,nan
debt,nan,nan,nan,nan,"(2,249 )",nan,"(5,247 )"
Long-term debt,nan,nan,nan,$,"42,658",$,"41,990"
