0,1,2,3,4,5,6
nan,nan,Three Months Ended,Percentage,nan,Nine Months Ended,Percentage
"(In millions, except percentages)",nan,"March 31,",Change,nan,"March 31,",Change
nan,nan,2024  2023,nan,nan,2024  2023,nan
Revenue,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"19,570  $ 17,516",12%,$,"57,411  $ 50,983",13%
Intelligent Cloud,nan,"26,708  22,081",21%,nan,"76,847  63,914",20%
More Personal Computing,nan,"15,580  13,260",17%,nan,"46,137  40,829",13%
Total,$,"61,858  $ 52,857",17%,$,"180,395  $ 155,726",16%
Operating Income,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"10,143  $ 8,639",17%,$,"30,397  $ 25,137",21%
Intelligent Cloud,nan,"12,513  9,476",32%,nan,"36,725  27,358",34%
More Personal Computing,nan,"4,925  4,237",16%,nan,"14,386  11,774",22%
Total,$,"27,581  $ 22,352",23%,$,"81,508  $ 64,269",27%
