0,1,2,3,4,5,6,7,8
nan,nan,2024,nan,2023,nan,2024,nan,2023
Derivatives,nan,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,(9 ),$,(38 ),$,(27 ),$,(13 )
"Unrealized gains (losses), net of tax of $(5), $1, $1, and $3",nan,(19 ),nan,5,nan,3,nan,14
Reclassification adjustments for (gains) losses included in,nan,nan,nan,nan,nan,nan,nan,nan
"other income (expense), net",nan,37,nan,(18 ),nan,32,nan,(62 )
Tax expense (benefit) included in provision for income,nan,nan,nan,nan,nan,nan,nan,nan
taxes,nan,(8 ),nan,4,nan,(7 ),nan,14
Amounts reclassified from accumulated other,nan,nan,nan,nan,nan,nan,nan,nan
comprehensive loss,nan,29,nan,(14 ),nan,25,nan,(48 )
"Net change related to derivatives, net of tax of $3, $(3), $8,",nan,nan,nan,nan,nan,nan,nan,nan
and $(11),nan,10,nan,(9 ),nan,28,nan,(34 )
"Balance, end of period",$,1,$,(47 ),$,1,$,(47 )
Investments,nan,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"(2,511 )",$,"(3,687 )",$,"(3,582 )",$,"(2,138 )"
"Unrealized gains (losses), net of tax of $(56),",nan,nan,nan,nan,nan,nan,nan,nan
"$194, $221, and $(225)",nan,(212 ),nan,732,nan,830,nan,(851 )
Reclassification adjustments for losses included in other,nan,nan,nan,nan,nan,nan,nan,nan
"income (expense), net",nan,13,nan,26,nan,49,nan,68
Tax benefit included in provision for income taxes,nan,(3 ),nan,(5 ),nan,(10 ),nan,(13 )
Amounts reclassified from accumulated other,nan,nan,nan,nan,nan,nan,nan,nan
comprehensive loss,nan,10,nan,21,nan,39,nan,55
"Net change related to investments, net of tax of $(53),",nan,nan,nan,nan,nan,nan,nan,nan
"$199, $231, and $(212)",nan,(202 ),nan,753,nan,869,nan,(796 )
"Balance, end of period",$,"(2,713 )",$,"(2,934 )",$,"(2,713 )",$,"(2,934 )"
Translation Adjustments and Other,nan,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"(2,429 )",$,"(2,732 )",$,"(2,734 )",$,"(2,527 )"
"Translation adjustments and other, net of tax of $0,",nan,nan,nan,nan,nan,nan,nan,nan
"$0, $0, and $0",nan,(294 ),nan,69,nan,11,nan,(136 )
"Balance, end of period",$,"(2,723 )",$,"(2,663 )",$,"(2,723 )",$,"(2,663 )"
"Accumulated other comprehensive loss, end of period",$,"(5,435 )",$,"(5,644 )",$,"(5,435 )",$,"(5,644 )"
