0,1,2,3,4,5,6,7,8
"(In millions, except per share amounts) (Unaudited)",nan,nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
Revenue:,nan,nan,nan,nan,nan,nan,nan,nan
Product,$,"17,080",$,"15,588",$,"51,556",$,"47,846"
Service and other,nan,"44,778",nan,"37,269",nan,"128,839",nan,"107,880"
Total revenue,nan,"61,858",nan,"52,857",nan,"180,395",nan,"155,726"
Cost of revenue:,nan,nan,nan,nan,nan,nan,nan,nan
Product,nan,"4,339",nan,"3,941",nan,"13,834",nan,"13,933"
Service and other,nan,"14,166",nan,"12,187",nan,"40,596",nan,"35,135"
Total cost of revenue,nan,"18,505",nan,"16,128",nan,"54,430",nan,"49,068"
Gross margin,nan,"43,353",nan,"36,729",nan,"125,965",nan,"106,658"
Research and development,nan,"7,653",nan,"6,984",nan,"21,454",nan,"20,456"
Sales and marketing,nan,"6,207",nan,"5,750",nan,"17,640",nan,"16,555"
General and administrative,nan,"1,912",nan,"1,643",nan,"5,363",nan,"5,378"
Operating income,nan,"27,581",nan,"22,352",nan,"81,508",nan,"64,269"
"Other income (expense), net",nan,(854 ),nan,321,nan,(971 ),nan,315
Income before income taxes,nan,"26,727",nan,"22,673",nan,"80,537",nan,"64,584"
Provision for income taxes,nan,"4,788",nan,"4,374",nan,"14,437",nan,"12,304"
Net income,$,"21,939",$,"18,299",$,"66,100",$,"52,280"
Earnings per share:,nan,nan,nan,nan,nan,nan,nan,nan
Basic,$,2.95,$,2.46,$,8.90,$,7.02
Diluted,$,2.94,$,2.45,$,8.85,$,6.99
Weighted average shares outstanding:,nan,nan,nan,nan,nan,nan,nan,nan
Basic,nan,"7,431",nan,"7,441",nan,"7,431",nan,"7,450"
Diluted,nan,"7,472",nan,"7,464",nan,"7,467",nan,"7,474"
