0,1,2,3,4
nan,nan,Three Months Ended,nan,Nine Months Ended
"(In millions, except per share amounts) (Unaudited)",nan,"March 31,",nan,"March 31,"
nan,nan,2024  2023,nan,2024  2023
Common stock and paid-in capital,nan,nan,nan,nan
"Balance, beginning of period",$,"97,480   $ 90,225",$,"93,718  $ 86,939"
Common stock issued,nan,522  536,nan,"1,468  1,354"
Common stock repurchased,nan,"(1,512 ) (1,133 )",nan,"(4,213 )  (3,394 )"
Stock-based compensation expense,nan,"2,703  2,465",nan,"8,038  7,195"
"Other, net",nan,0  0,nan,182  (1 )
"Balance, end of period",nan,"99,193  92,093",nan,"99,193  92,093"
Retained earnings,nan,nan,nan,nan
"Balance, beginning of period",nan,"145,737  99,368",nan,"118,848  84,281"
Net income,nan,"21,939  18,299",nan,"66,100  52,280"
Common stock cash dividends,nan,"(5,573 ) (5,053 )",nan,"(16,718 )  (15,176 )"
Common stock repurchased,nan,"(2,709 ) (4,380 )",nan,"(8,836 )  (13,151 )"
"Balance, end of period",nan,"159,394  108,234",nan,"159,394  108,234"
Accumulated other comprehensive loss,nan,nan,nan,nan
"Balance, beginning of period",nan,"(4,949 ) (6,457 )",nan,"(6,343 )  (4,678 )"
Other comprehensive income (loss),nan,(486 ) 813,nan,908  (966 )
"Balance, end of period",nan,"(5,435 ) (5,644 )",nan,"(5,435 )  (5,644 )"
Total stockholders’ equity,$,"253,152   $ 194,683",$,"253,152  $ 194,683"
Cash dividends declared per common share,$,0.75   $ 0.68,$,2.25  $ 2.04
