0,1,2,3,4,5,6,7,8
nan,nan,2024,nan,2023,nan,2024,2023,nan
Gross margin,$,"43,353",$,"36,729",18%,"$ 125,965","$ 106,658",18%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0,*,0,152,*
Adjusted gross margin (non-GAAP),$,"43,353",$,"36,729",18%,"$ 125,965","$ 106,810",18%
Operating income,$,"27,581",$,"22,352",23%,"$ 81,508","$ 64,269",27%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0,*,0,"1,171",*
Adjusted operating income (non-,nan,nan,nan,nan,nan,nan,nan,nan
GAAP),$,"27,581",$,"22,352",23%,"$ 81,508","$ 65,440",25%
Net income,$,"21,939",$,"18,299",20%,"$ 66,100","$ 52,280",26%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0,*,0,946,*
Adjusted net income (non-GAAP),$,"21,939",$,"18,299",20%,"$ 66,100","$ 53,226",24%
Diluted earnings per share,$,2.94,$,2.45,20%,$ 8.85,$ 6.99,27%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0,*,0,0.13,*
Adjusted diluted earnings per share,nan,nan,nan,nan,nan,nan,nan,nan
(non-GAAP),$,2.94,$,2.45,20%,$ 8.85,$ 7.12,24%
