0,1,2,3,4,5,6,7
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2023,nan,2022,nan,2023,nan,2022
Designated as Fair Value Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan,nan,nan
Derivatives $,0,$,0,$,0,$,49
Hedged items,0,nan,0,nan,0,nan,(50 )
Excluded from effectiveness assessment,0,nan,0,nan,0,nan,4
Interest rate contracts,nan,nan,nan,nan,nan,nan,nan
Derivatives,1,nan,(57 ),nan,(37 ),nan,(71 )
Hedged items,(15 ),nan,61,nan,20,nan,83
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan,nan,nan
Amount reclassified from accumulated other,nan,nan,nan,nan,nan,nan,nan
comprehensive loss,18,nan,(15 ),nan,62,nan,(44 )
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,(10 ),nan,35,nan,(20 ),nan,308
Other contracts,(60 ),nan,(29 ),nan,(264 ),nan,(41 )
"Gains (losses), net of tax, on derivative instruments recognized in our consolidated comprehensive income statements",nan,nan,nan,nan,nan,nan,nan
were as follows:,nan,nan,nan,nan,nan,nan,nan
nan,Three Months Ended,nan,nan,nan,Nine Months Ended,nan,nan
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2023,nan,2022,nan,2023,nan,2022
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan,nan,nan
Included in effectiveness assessment $,5,$,(6 ),$,14,$,(27 )
NOTE 6 — INVENTORIES,nan,nan,nan,nan,nan,nan,nan
The components of inventories were as follows:,nan,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,"March 31,",nan,nan,"June 30,"
nan,nan,nan,nan,nan,2023,nan,2022
Raw materials,nan,nan,$,nan,"1,055  $",nan,"1,144"
Work in process,nan,nan,nan,nan,35,nan,82
Finished goods,nan,nan,nan,nan,"1,787",nan,"2,516"
Total,nan,nan,$,nan,"2,877  $",nan,"3,742"
