0,1,2,3,4,5,6,7
year),(calendar year),Rate,Rate,nan,2023,nan,2022
2009 issuance of $3.8 billion,2039,5.20%,5.24%,$,520,$,520
2010 issuance of $4.8 billion,2040,4.50%,4.57%,nan,486,nan,486
2011 issuance of $2.3 billion,2041,5.30%,5.36%,nan,718,nan,718
2012 issuance of $2.3 billion,2022 –2042,2.13% –3.50%,2.24% –3.57%,nan,454,nan,"1,204"
2013 issuance of $5.2 billion,2023 –2043,2.38% –4.88%,2.47% –4.92%,nan,"2,814",nan,"2,814"
2013 issuance of €4.1 billion,2028 –2033,2.63% –3.13%,2.69% –3.22%,nan,"2,499",nan,"2,404"
2015 issuance of $23.8 billion,2025 –2055,2.70% –4.75%,2.77% –4.78%,nan,"9,805",nan,"10,805"
2016 issuance of $19.8 billion,2023 –2056,2.00% –3.95%,2.10% –4.03%,nan,"9,430",nan,"9,430"
2017 issuance of $17.0 billion,2024 –2057,2.88% –4.50%,3.04% –4.53%,nan,"8,945",nan,"8,945"
2020 issuance of $10.0 billion,2050 –2060,2.53% –2.68%,2.53% –2.68%,nan,"10,000",nan,"10,000"
2021 issuance of $8.2 billion,2052 –2062,2.92% –3.04%,2.92% –3.04%,nan,"8,185",nan,"8,185"
Total face value,nan,nan,nan,nan,"53,856",nan,"55,511"
Unamortized discount and,nan,nan,nan,nan,nan,nan,nan
issuance costs,nan,nan,nan,nan,(446 ),nan,(471 )
Hedge fair value adjustments,nan,nan,nan,nan,nan,nan,nan
(a),nan,nan,nan,nan,(88 ),nan,(68 )
Premium on debt exchange,nan,nan,nan,nan,"(5,112 )",nan,"(5,191 )"
Total debt,nan,nan,nan,nan,"48,210",nan,"49,781"
Current portion of long-term,nan,nan,nan,nan,nan,nan,nan
debt,nan,nan,nan,nan,"(6,245 )",nan,"(2,749 )"
Long-term debt,nan,nan,nan,$,"41,965",$,"47,032"
