0,1,2,3,4,5,6,7,8,9,10
nan,nan,2023,nan,2022,nan,nan,2023,nan,2022,nan
Gross margin,$,"36,729",$,"33,745",9%,$,"106,658",$,"100,184",6%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease consolidation",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
costs,nan,0,nan,0,*,nan,152,nan,0,*
Adjusted gross margin (non-GAAP),$,"36,729",$,"33,745",9%,$,"106,810",$,"100,184",7%
Operating income,$,"22,352",$,"20,364",10%,$,"64,269",$,"62,849",2%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease consolidation",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
costs,nan,0,nan,0,*,nan,"1,171",nan,0,*
Adjusted operating income (non-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GAAP),$,"22,352",$,"20,364",10%,$,"65,440",$,"62,849",4%
Net income,$,"18,299",$,"16,728",9%,$,"52,280",$,"55,998",(7)%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease consolidation",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
costs,nan,0,nan,0,*,nan,946,nan,0,*
Net income tax benefit related to,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
transfer of intangible properties,nan,0,nan,0,*,nan,0,nan,"(3,291 )",*
Adjusted net income (non-GAAP),$,"18,299",$,"16,728",9%,$,"53,226",$,"52,707",1%
Diluted earnings per share,$,2.45,$,2.22,10%,$,6.99,$,7.41,(6)%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease consolidation",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
costs,nan,0,nan,0,*,nan,0.13,nan,0,*
Net income tax benefit related to,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
transfer of intangible properties,nan,0,nan,0,*,nan,0,nan,(0.43 ),*
Adjusted diluted earnings per share,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
(non-GAAP),$,2.45,$,2.22,10%,$,7.12,$,6.98,2%
